23:29:18:973	Stand-Bye is starting!
23:29:19:003	The User: {Code} started Standbye!
23:29:19:032	Found total amount of {1} Users:
23:29:19:057		Code
23:29:19:085	The active user is: {Code}
23:29:19:11	Only one user is active! StandBye can proceed!
23:29:19:136	Instance Monitor trys to open Mutex!
23:29:19:162	Instance Monitor: No other instance running
23:29:19:188	Deleted TMP File [not existed]
23:29:19:244	Retuned Settings-File-Path: C:\Users\Code\Desktop\Projekt\StandBye\StandBye\StandBye\Settings.ini
23:29:19:305	Loaded Setting ['WAIT_TIME'] with value ['300']
23:29:19:331	Loaded Setting ['LANGUAGE'] with value ['en']
23:29:19:357	Loaded Setting ['USE_CPU'] with value ['TRUE']
23:29:19:383	Loaded Setting ['MAX_CPU'] with value ['30']
23:29:19:409	Loaded Setting ['USE_RAM'] with value ['TRUE']
23:29:19:435	Loaded Setting ['MAX_RAM'] with value ['20']
23:29:19:46	Loaded Setting ['USE_HDD'] with value ['TRUE']
23:29:19:486	Loaded Setting ['MAX_HDD'] with value ['2000']
23:29:19:512	Loaded Setting ['USE_NET'] with value ['TRUE']
23:29:19:538	Loaded Setting ['MAX_NET'] with value ['12000']
23:29:19:564	Loaded Setting ['CHECK_SOUND'] with value ['TRUE']
23:29:19:59	Loaded Setting ['PROC_EXCP'] with value ['']
23:29:19:616	Loaded Setting ['SEARCH_UPDATES'] with value ['TRUE']
23:29:19:642	Loaded Setting ['SHOW_MESSAGES'] with value ['TRUE']
23:29:19:673	Loaded settingsProvider
23:29:19:699	Loading SystemAccess instance...
23:29:20:206	Get Network Adapter Names:
23:29:20:243		isatap.fritz.box
23:29:20:268		Teredo Tunneling Pseudo-Interface
23:29:20:293		Killer e2200 Gigabit Ethernet Controller
23:29:20:319	Loaded SystemAccess
23:29:20:365	Loaded and Started SystemMetricWatcher
23:29:20:391	InputMonitor starting
23:29:20:413	Loaded InputMonitor
23:29:20:981	Loaded invisible SettingsForm
23:29:21:94	Got 'v0.5.2' as versionString from https://raw.githubusercontent.com/flobaader/Stand-Bye/download/version.txt
23:29:21:966	Got '052' as version number from 'v0.5.2'
23:29:21:992	Got '042' as version number from '0.4.2'
23:29:22:018	New Version is available == [True] 
23:29:31:731	Downloading File from https://github.com/flobaader/Stand-Bye/releases/download/v0.5.2/Install_Stand-Bye.msi
23:29:31:757	Saving File to C:\Users\Code\Desktop\Projekt\StandBye\StandBye\StandBye\installer.msi
23:29:31:785	Starting DownloadDialog
23:29:37:023	Download did not succeed or was canceled!
23:29:37:049	Disabled Windows Standby!
